start|end|text
2085.64|2088.82|I'm afraid Hamilton will have trouble with Edmonton.
2089.36|2095.04|... pretty solid ... quarterback.
2095.12|2096.3|...
2097.3|2101.3|He copied from Moon, running with the ball.
2101.68|2104.06|They asked Parker the last game.
2104.98|2108.46|Don't you worry about him when he runs like that?
2108.54|2109.34|He said, that's the way
2109.34|2110.0|he wants to play it,
2110.18|2111.16|that's the only way he can get ...
2112.18|2113.98|so I let him go.
2114.7|2116.16|So far, so good.
2117.4|2120.24|But Hamilton played one hell of a game against Toronto
2121.03|2128.98|last Sunday. But the most impossible thing happened. I was up there the other night in Miami. It
2130.4|2135.26|wiping the jets out. Three points to, what, forty-five?
2135.84|2147.56|... kept on going, marking them up and marking them up.
2153.36|2155.56|Well, I'm about halfway through this tape I'm running,
2155.62|2157.68|put it on fast-forward and run it to the end,
2158.8|2159.44|throw it in the box and put it in the mail.
2161.46|2166.02|When you play this tape, when you play the big tape over,
2167.64|2169.54|when you run it, you have Danny there,
2169.54|2172.54|and I'm sure with the two of you, you'll get more out of it,
2172.7|2180.95|and you'll be able to add some comments about this and about that.
2182.89|2188.91|I often lay back and think now that some of the things that happened
2188.91|2197.89|in the course of my lifetime, it's hard to explain to somebody
2197.89|2200.33|that hasn't been there and done the same thing.
2200.57|2200.73|And...
2201.57|2205.33|My thrashing days, that don't mean anything to you fellas.
2205.77|2206.97|Well, that was the thing.
2207.03|2210.11|The harvest time, you know, that's when everything happened.
2212.29|2214.33|It was really something
2214.77|2220.03|for a young fellow like me to go to Raleigh about 19 years ago, started one-hand
2220.03|2220.81|thrashing machinery.
2222.03|2227.33|And it was always the stories that go around that this guy never, his machine never stops, or
2227.41|2229.15|that guy he's stopping half the time.
2229.79|2232.67|So if you were a good operator, everybody in the country knew you.
2232.99|2234.85|There's no question about that.
2235.73|2241.51|And as I've said right now, we've all been taught before that I always separate the grain
2241.51|2241.93|clean.
2242.15|2246.23|When they start cuffing in the elevators, the elevator man couldn't believe that
2246.23|2248.69|grain would come that clean out of the thresher.
2250.45|2251.91|To me,
2252.01|2254.85|it was just the only way you do it ...
2256.63|2257.83|Other than that,
2258.19|2260.57|you keep working at it until you get
2260.57|2261.73|everything set so that
2261.79|2262.63|it came out good.
2267.06|2267.94|... you can't
2268.3|2269.16|have a note -
2269.6|2277.66|notebook with you - taking notes about this and about that.
2277.98|2279.46|I can give you the details.
2280.24|2283.16|Verlyn said, how can you remember back 50 years?
2284.04|2285.52|Or 60, 70 years?
2285.76|2286.9|I said, "I don't know."
2287.64|2291.76|I can remember in detail things that happened 40, 50 years ago.
2292.58|2294.36|And remember the dates and everything.
2294.46|2294.94|No problem.
2297.02|2297.56|Ask me what I had for breakfast
2297.58|2300.98|or supper last night and I have to think like hell.
2302.6|2305.16|To remember what I ate for supper last night.
2305.3|2307.68|That was part of growing old.
2310.04|2310.7|Oh, yeah.
2310.76|2313.8|I had a letter from Cascade, Iowa from the cousins that were up here this summer.
2314.46|2319.48|And they mentioned about Uncle Hiller that was my mother's youngest brother who is still
2319.48|2321.42|living at 104 years of age.
2321.62|2324.34|He fell last spring and cracked his hip.
2324.42|2326.78|But he's back up walking again.
2328.14|2331.68|His mind, I guess, is sort of straying a bit.
2331.74|2336.9|She said - I had put a message in the letter to her for her dad 
2337.3|2339.02|and she read it out to him -
2339.34|2343.56|She said he couldn't remember much about the Achens excepting Lorry.
2343.76|2344.76|Well, that's the oldest brother.
2345.02|2347.32|He and Lorry were just about the same age.
2348.46|2351.1|So his memory must be failing a bit,
2351.12|2352.12|which one can I expect
2352.46|2353.72|at that age.
2355.22|2356.2|Remark ...
2356.2|2361.1|He was never a strong man. He was always a kind of a frail looking fellow.
2361.26|2365.4|I remember, back of 1925 when I first met him,
2366.08|2368.48|he had a crippled arm -
2368.82|2369.8|one-hooked arm.
2370.22|2371.86|The elbow was stiffened.
2373.8|2375.02|He used that one.
2375.08|2375.66|He could tip -
2375.68|2376.56|he was a good drinker -
2376.58|2377.36|He could tip a drink with it alright.
2377.6|2383.74|But on the other hand ... he was a frail looking man, man.
2383.74|2385.3|He was a man never weighed over
2385.3|2388.82|140, 145 pounds.
2389.79|2391.57|And all the rest of the Smiths
2389.8|2393.12|were big huge fellows.
2393.76|2395.72|Up to 250 pounds.
2398.91|2400.47|So I wish you well.
2400.75|2403.57|Including you, Linda, and all the kids.
2403.99|2407.77|A very, very, Merry Christmas and a Happy New Year.
2411.03|2412.45|Well, I should be talking to you
2412.59|2413.19|at that time.
2415.17|2416.33|So as they say,
2416.75|2417.95|Over and out.
2417.95|2436.45|Just now I was wondering what all that noise was.
2436.53|2438.95|And I find out I had the microphone in my hand.
2438.95|2440.45|And there's the cord bent
2440.57|2442.97|a little bit that does all that clicking and whatnot.
2444.11|2448.33|So I'll know better the next time I set the mic down and talk into it.
